Row,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,y
11,29,1,0,0,A,3,14,1,24,53.2,150.3,9,alpha,0,0,454,1,0,0,0,0,0,0,0,1,0,0,0,142,0,0,687,0,611,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,PT,1,-1
12,27,0,0,1,A,11,17,4,23,167.3,71.8,126.6,beta,1,0,404,0,0,0,0,0,0,0,0,1,0,0,1,193,0,0,562,0,500,0,1,0,0,0,0,0,0,1,41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NPT,0,-1
13,25,0,1,1,A,4,18,18,33,72.2,178.9,133.7,beta,0,0,303,1,0,0,0,0,0,0,0,0,0,0,0,56,0,0,562,0,444,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mp,NPT,1,-1
14,29,1,1,0,A,7,12,0,25,184.9,102.5,79.2,beta,1,0,404,1,0,0,0,0,1,0,0,1,0,1,0,139,0,0,624,0,333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mp,NPT,0,-1
15,36,1,0,0,C,3,16,15,26,159.4,154.9,90.3,chi,0,0,404,1,0,0,0,0,0,0,0,0,0,0,0,87,0,0,624,0,233,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Mp,PT,1,-1
16,37,1,1,1,B,7,17,10,22,110.6,126.9,176.7,alpha,1,0,404,1,0,1,0,1,0,0,0,0,0,1,0,226,0,0,624,0,611,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mm,NST,1,-1
17,29,1,0,1,A,10,18,11,29,94.4,195.9,58.9,chi,0,0,404,1,0,0,0,0,0,0,0,1,0,0,0,138,0,0,812,0,422,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,PT,1,1
18,27,0,1,1,A,16,2,17,27,145.7,192.3,26.6,beta,0,0,283,1,0,0,0,0,0,0,0,1,0,0,0,226,0,0,812,0,289,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Mp,NPT,1,-1
19,29,1,1,1,A,14,8,1,29,7.7,173.6,133.4,beta,1,0,404,1,0,0,0,0,0,0,0,1,0,0,0,213,0,0,562,0,433,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NPT,1,-1
20,30,1,1,1,A,6,17,16,30,92.4,36.8,77.8,beta,0,0,404,0,0,0,0,0,0,1,0,1,0,0,0,135,1,0,312,0,699,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NPT,1,-1
21,31,0,1,0,E,0,7,9,42,111,199.3,40.7,alpha,0,0,383,1,0,0,0,0,0,0,0,1,0,0,0,119,0,0,812,0,422,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Ma,NST,0,-1
22,28,0,1,1,B,4,4,1,27,142.7,0.8,61.4,beta,0,0,303,1,0,0,0,0,0,0,0,0,0,1,0,129,0,0,812,0,255,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Mp,ST,1,-1
23,30,1,1,1,A,17,15,10,26,172.9,72,171.8,beta,0,0,404,0,0,0,0,0,0,0,0,1,0,0,0,197,1,0,812,0,477,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Mp,NPT,0,1
24,24,0,1,1,A,7,6,17,33,83.4,84.9,191.6,chi,1,0,404,1,0,1,0,0,0,0,0,0,0,0,0,86,0,0,312,0,344,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mm,NST,0,-1
25,32,1,1,0,B,16,8,10,29,8.5,82.4,142.7,alpha,0,0,505,1,0,0,0,0,0,0,0,0,0,0,0,93,0,0,812,0,255,0,0,0,365,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,Ma,NST,1,-1
26,29,0,0,1,B,9,1,17,33,38.1,199.9,191.6,chi,0,0,373,1,0,1,0,0,0,0,0,0,0,0,0,129,0,0,562,0,244,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Mm,NPT,0,-1
27,31,1,1,0,A,13,2,0,29,153.5,68.9,4.3,beta,0,0,404,1,0,0,0,0,0,0,0,1,0,0,0,96,0,0,562,0,444,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Mp,NPT,1,-1
28,27,1,0,0,A,1,17,18,30,164.2,150.5,116.9,beta,0,0,353,1,0,0,0,0,1,0,0,1,0,0,0,196,0,0,687,0,411,0,0,0,433,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Mp,NPT,1,1
29,32,1,1,0,E,16,7,12,17,188.8,116.1,119.9,alpha,0,0,555,1,0,0,0,0,0,0,0,1,0,0,0,110,0,0,812,0,477,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Mp,NST,1,1
30,32,1,1,1,A,9,8,2,37,23.7,197.9,41.7,chi,0,0,505,1,0,0,1,0,0,0,0,1,0,0,0,125,0,0,624,0,266,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mm,PT,1,1
31,32,0,1,1,A,11,6,4,27,87,192,28.9,beta,0,0,454,1,0,1,0,0,0,0,0,0,0,1,0,85,0,0,874,0,644,0,0,0,454,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mp,NPT,1,-1
32,34,0,0,1,E,10,3,5,40,46.3,145.4,179.6,beta,0,0,605,1,0,1,0,0,0,0,0,0,0,0,0,49,0,0,687,0,500,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mm,NST,1,-1
33,17,1,0,1,A,9,17,16,20,47.4,116.9,115.5,beta,0,0,394,1,1,0,0,0,0,0,0,0,1,0,0,209,0,1,562,0,289,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mp,NPT,0,-1
34,26,0,1,1,A,18,6,15,27,4.4,188.4,105.2,beta,0,0,908,1,0,0,0,0,0,0,0,1,0,0,0,129,0,0,999,0,366,0,0,0,453,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NPT,1,1
35,36,0,0,1,A,14,7,0,33,189.6,157.6,1.4,beta,0,0,404,1,0,0,0,0,0,1,0,1,0,0,0,179,0,0,749,0,355,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Mp,NPT,1,-1
36,41,1,1,0,A,3,14,17,26,117.9,76,47.5,alpha,1,0,404,1,0,1,0,0,0,0,0,0,0,0,0,122,0,0,687,0,311,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Mm,NST,1,-1
37,25,1,1,1,D,14,2,9,16,174.7,40.3,81.2,beta,0,0,383,1,0,1,0,0,0,0,0,0,0,0,0,74,0,0,562,0,655,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mm,NST,1,1
38,35,1,0,1,A,3,11,17,33,107.2,24.6,121.8,beta,1,0,404,1,0,0,0,0,0,0,0,1,0,0,0,282,0,0,624,0,722,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Mp,NPT,1,-1
39,27,1,1,1,A,15,3,9,34,120.8,77.1,118.9,beta,0,0,505,1,1,0,0,0,0,0,0,0,1,0,0,86,0,0,624,0,577,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mp,NPT,1,-1
40,37,1,0,1,C,13,13,15,24,15.2,129.7,70.3,beta,0,0,353,1,0,1,0,0,0,0,0,0,1,0,0,114,0,0,562,0,644,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mp,ST,1,-1
41,34,0,1,1,E,4,9,12,34,84.3,198.4,124.1,alpha,0,0,404,1,0,0,0,0,0,0,0,1,0,0,0,152,0,0,562,0,599,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NST,1,-1
42,32,1,0,1,A,4,11,10,38,114.2,118.4,179.7,beta,0,0,404,1,0,0,0,0,0,0,0,0,0,0,0,82,0,0,375,0,355,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Mp,NPT,1,-1
43,33,0,1,1,E,5,18,13,27,73.5,186.4,28.3,alpha,0,0,505,1,0,1,0,0,0,1,0,0,0,0,0,176,0,0,562,0,278,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Mm,PT,1,-1
44,38,1,1,1,D,1,4,10,23,118.6,186.7,144.1,chi,1,0,404,0,0,0,0,0,0,0,0,1,0,0,0,128,0,0,562,1,322,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,Mp,NST,0,-1
45,28,0,1,1,E,6,17,6,32,64.7,102.6,177.2,beta,0,0,505,1,0,0,0,0,0,0,0,1,0,0,0,119,0,0,562,0,511,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,Ma,ST,0,-1
46,23,1,0,1,A,13,3,12,29,21.5,165,143,beta,1,0,404,1,1,0,1,0,0,0,0,0,0,0,0,73,0,0,562,0,655,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mp,NPT,1,-1
47,35,0,1,0,A,7,15,12,30,188.8,2.4,160.3,chi,1,0,353,0,1,0,0,0,0,0,0,0,0,1,0,105,1,0,562,0,466,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,Mm,ST,0,-1
48,24,1,1,1,A,15,4,13,32,173.5,156.6,101.6,beta,0,0,454,1,0,0,0,0,0,0,0,1,0,0,0,73,0,0,624,0,633,0,0,0,383,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NPT,1,-1
49,32,1,0,1,A,14,1,8,42,157,132.3,195.6,beta,0,0,807,0,0,1,0,0,0,0,0,0,0,0,0,189,1,0,562,0,377,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Mp,NPT,1,-1
50,33,1,1,1,C,8,13,15,24,123,91.5,4,alpha,0,0,404,0,0,1,0,0,0,0,0,0,0,0,0,242,0,0,812,1,333,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,Ma,NST,0,-1
51,31,0,0,1,D,1,0,6,33,95.7,102.4,187.5,beta,0,0,252,1,0,0,0,0,0,1,0,1,0,0,0,107,0,0,562,0,666,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mm,NPT,1,-1
52,26,1,1,0,A,1,5,0,39,36.7,140.3,26.6,beta,0,1,454,1,0,1,0,0,0,0,0,0,0,0,0,61,0,0,812,0,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Mp,NPT,1,-1
53,30,1,1,0,C,13,12,15,32,57,27.4,77.9,chi,0,0,404,1,0,0,0,0,0,0,1,0,0,0,0,270,0,0,187,0,266,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Mm,NST,1,-1
54,32,0,0,1,A,8,3,16,37,18.6,31.7,160.8,beta,0,0,404,1,0,0,0,0,0,0,0,1,0,0,0,126,0,0,624,0,322,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NPT,1,-1
55,27,0,1,0,A,17,18,5,31,176.2,130.7,8.2,beta,0,0,454,1,0,0,0,0,0,0,0,1,0,0,0,136,0,0,687,0,588,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NPT,1,-1
56,31,1,1,1,D,9,9,16,34,147.2,16.8,94.3,beta,0,1,404,1,0,0,0,0,0,0,0,1,0,0,0,342,0,0,812,0,455,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Mm,NPT,1,1
57,26,0,0,0,A,14,17,15,31,142.7,6.1,111.9,beta,0,0,474,1,0,0,0,0,0,0,0,1,0,0,0,140,0,0,624,0,522,0,0,0,341,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NPT,1,-1
58,34,1,0,0,A,16,7,2,27,148,125.1,19.3,beta,0,0,505,1,0,0,0,0,0,0,0,1,0,0,0,121,0,0,812,0,488,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,Mp,NPT,1,1
59,34,1,1,1,A,6,13,10,31,154.9,28.2,55.1,beta,0,1,404,1,1,0,0,0,0,0,0,0,0,1,0,131,0,1,624,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mp,NPT,1,-1
60,26,1,1,0,A,6,10,12,29,122.5,54.7,135.8,alpha,0,0,323,1,0,0,0,0,0,1,0,0,0,0,0,141,0,0,624,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,Mm,PT,1,-1
61,32,1,1,1,A,6,5,10,28,26.5,108.4,145.9,beta,0,0,333,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,562,0,511,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Mp,NPT,1,-1
62,28,1,1,1,A,0,10,3,26,49.3,141.1,120.5,alpha,0,0,404,1,0,0,0,0,1,0,0,1,0,1,0,91,0,0,624,0,466,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ma,NST,0,-1
63,25,1,0,1,A,17,18,9,23,14,88,128.8,beta,1,0,404,0,0,0,0,0,0,0,0,0,0,0,0,185,1,0,562,0,233,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Mp,NPT,1,-1
64,38,1,1,1,A,7,0,13,26,79.7,148.7,127.9,beta,0,0,505,1,0,0,0,0,0,0,0,1,0,0,0,107,0,0,874,0,500,0,0,1,0,0,1,0,0,0,77,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NPT,1,1
65,29,1,1,1,A,12,17,10,25,32.9,163.5,85,beta,0,0,303,1,0,0,0,0,0,0,0,0,0,0,0,114,0,0,562,0,233,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Mp,NPT,1,-1
66,31,1,1,1,C,13,9,8,33,142.6,128,193.4,chi,0,0,404,1,0,0,0,0,0,1,0,1,0,0,0,159,0,0,250,0,666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,Mm,NST,1,-1
67,28,0,1,1,A,11,4,4,34,33,36.5,156.3,alpha,1,0,404,1,0,0,0,0,0,0,0,1,0,0,0,199,0,0,624,0,544,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Mm,NST,1,1
68,31,1,1,0,A,11,11,15,30,81.4,82.1,8.1,beta,0,0,202,1,0,1,0,1,0,0,0,0,0,0,0,93,0,0,812,0,266,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,Mp,NPT,0,-1
69,24,0,1,0,C,15,17,5,27,0.3,183.4,111.6,alpha,1,0,505,1,0,0,0,0,0,0,0,1,0,0,0,125,0,0,874,0,488,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Mp,NST,1,1
70,23,0,0,1,A,13,12,4,37,38.4,87.7,131.7,beta,1,0,484,1,0,0,0,0,0,0,0,1,0,0,0,106,0,0,687,0,422,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NPT,0,-1
71,29,0,1,1,A,9,18,8,30,153.9,138,74.7,beta,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,164,1,0,562,0,244,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Mp,NPT,1,-1
72,28,0,1,1,A,8,10,5,21,107.1,12.6,14.6,beta,0,0,505,1,0,0,0,0,0,0,0,1,0,0,0,119,0,0,562,0,333,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Mp,NPT,1,1
73,25,1,1,1,A,12,18,3,37,8.7,180.2,32.1,beta,1,0,484,1,0,0,1,0,0,0,0,1,0,0,0,125,0,0,812,0,389,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NPT,1,-1
74,27,1,0,0,C,0,8,7,24,171.4,74.6,96.4,beta,0,0,454,1,0,0,0,0,0,0,0,1,0,0,0,69,0,0,937,0,522,1,0,0,554,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Mm,NST,1,1
75,19,1,1,1,B,7,12,6,35,70.4,125.7,39.9,chi,0,0,404,1,0,0,0,0,0,1,0,0,0,0,0,101,0,0,562,0,300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Ma,NST,0,-1
76,33,1,1,1,B,5,5,17,22,149,184.8,150.7,beta,1,0,101,1,0,0,0,1,0,0,0,0,0,1,0,91,0,0,624,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Mp,PT,1,-1
77,26,1,1,1,A,0,11,9,30,32.2,9.5,147.8,beta,0,0,484,1,0,0,0,0,0,0,0,0,0,0,0,79,0,0,812,0,266,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Mp,NPT,1,-1
78,35,1,1,0,A,14,9,12,22,159.2,119.9,143.4,beta,0,0,404,1,1,0,0,0,0,0,0,0,0,1,0,93,0,0,562,0,633,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mp,NPT,1,-1
79,34,1,0,1,A,8,9,8,26,43.3,157.1,159.9,beta,0,0,404,1,0,0,0,0,0,0,1,1,0,0,0,24,0,0,562,0,422,0,0,0,468,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Mp,NPT,1,-1
80,33,1,1,1,A,6,4,0,37,33.2,66.3,175.1,beta,1,0,404,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,562,1,244,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Mp,NPT,1,-1
81,30,1,1,1,A,4,7,4,21,115.7,38.2,50.6,beta,0,0,404,1,0,1,0,0,0,0,0,0,0,0,0,227,0,1,874,0,599,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mp,NPT,1,-1
82,32,0,1,0,A,10,8,14,26,85.5,180.7,175.2,beta,0,0,404,1,0,0,0,0,0,0,0,1,0,0,0,130,0,0,874,0,688,0,0,1,0,0,0,0,0,0,77,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NPT,1,1
83,37,1,0,1,A,6,15,18,41,40.2,194.5,153.7,beta,1,0,182,1,0,0,0,0,1,0,0,1,0,0,0,174,0,0,687,0,311,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mp,NPT,1,-1
84,40,0,1,1,A,2,6,0,31,165.8,109.8,116.4,alpha,0,0,404,1,0,0,0,0,0,0,0,1,0,1,0,132,0,0,562,0,488,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NST,1,-1
85,34,0,1,1,E,10,5,9,28,78.1,37.7,144.7,chi,0,0,121,0,0,0,0,0,0,0,0,0,1,0,0,96,1,0,375,0,189,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Ma,NST,1,-1
86,31,1,1,1,A,16,2,15,36,109.1,114.4,19,beta,1,0,555,1,0,0,0,0,0,0,0,1,0,0,0,126,0,0,812,0,389,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mm,NPT,1,1
87,26,1,1,0,A,18,15,14,32,0.2,10,134.6,beta,0,0,404,1,1,0,0,0,0,0,0,0,0,1,0,124,0,0,562,0,400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Mp,NPT,1,-1
88,27,1,1,0,B,17,5,10,23,4.1,139.7,113.2,chi,0,0,555,1,0,0,0,0,0,0,0,1,0,0,0,151,0,0,874,0,455,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Mm,NST,0,1
89,28,1,0,0,A,11,4,14,38,138.9,101.4,92.6,beta,0,0,404,1,0,0,0,0,0,0,0,1,0,0,0,100,0,0,624,0,466,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NPT,0,-1
90,27,1,1,1,A,11,18,12,27,197.3,77.8,28.5,beta,1,0,404,1,0,1,0,0,0,0,0,0,0,0,0,41,0,0,624,0,244,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Mp,NPT,1,-1
91,33,0,0,1,A,16,1,0,26,24,16.9,119.1,beta,1,0,404,1,0,1,0,0,0,0,0,0,0,0,0,207,0,0,562,0,322,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Mp,NPT,1,-1
92,26,0,1,1,A,4,8,1,33,52.5,163.9,178.8,beta,0,1,404,1,0,0,0,0,0,0,0,1,0,0,0,52,0,0,812,0,366,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Mp,NPT,0,-1
